year	area	seas	datetime	check	transect	station	trapnum	Nindnum	sex	status	weight	species	marked	note	
Z20	PORS	FALL	100920	1	3	2	2C	2781	F	NP	16	GRAASIDEMUS	N		
Z20	PORS	FALL	100920	1	3	2	4D	3261	M	S	17	ROEDMUS	N		
Z20	PORS	FALL	100920	1	2	1	4C	B89A	F	P	43	GRAASIDEMUS	SUM20		
Z20	PORS	FALL	100920	1	2	1	4C	UNMC	M	A	9	GRAASIDEMUS	N	DEAD	
Z20	PORS	FALL	100920	1	2	1	4B	1EA4	F	NP	18	GRAASIDEMUS	N		
Z20	PORS	FALL	100920	1	2	1	4D	UNMD	M	A	9	GRAASIDEMUS	N	DEAD	
Z20	PORS	FALL	100920	1	2	2	1D	BC11	M	S	36	GRAASIDEMUS	SUM20		
Z20	PORS	FALL	100920	1	1	2	2D	3182	F	L	34	GRAASIDEMUS	SUM20		
Z20	PORS	FALL	110920	2	1	2	2B	3182	F	L	35	GRAASIDEMUS			
Z20	PORS	FALL	110920	2	1	2	2D	F73D	M	A	16	GRAASIDEMUS	N		
Z20	PORS	FALL	110920	2	1	3	2D	B994	M	A	18	GRAASIDEMUS			
Z20	PORS	FALL	110920	2	1	3	1B	28A2	M	A	23	GRAASIDEMUS	N		
Z20	PORS	FALL	110920	2	2	2	2D	UNMMUSTA	NA	NA	NA	NA	NA	MUSTELA NIVALIS	
Z20	PORS	FALL	110920	2	2	2	1D	UNME	M	S	37	GRAASIDEMUS	N		
Z20	PORS	FALL	110920	2	2	2	1D	UNMMUSTB	NA	NA	NA	NA	NA	MUSTELA NIVALIS	
Z20	PORS	FALL	110920	2	3	2	2C	2781	F	NP	17	GRAASIDEMUS			
Z20	PORS	FALL	110920	2	3	2	4A	3261	M	A/S	18	ROEDMUS			
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
